name,description,logoid,update_mode,type,typespecs,close,pricescale,minmov,fractional,minmove2,currency,change,volume,relative_volume_10d_calc,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,market,sector,recommendation_mark
AEVA,"Aeva Technologies, Inc.",aeva,streaming,stock,common,3.58,100,1,false,0,USD,1.70454545,217209,0.75788735,192900423.99999997,USD,,-3.1025,7.07739308,0,Electronic technology,america,Electronic Technology,1.25
AEYE,"AudioEye, Inc.",audioeye,streaming,stock,common,13.01,100,1,false,0,USD,-0.83841463,163523,0.99722463,158437476,USD,,-0.2796,55.06990198,0,Technology services,america,Technology Services,1
AFBI,"Affinity Bancshares, Inc.",affinity-bancshares,streaming,stock,common,19.74,100,1,false,0,USD,4.44444444,40748,4.32872288,126581372,USD,23.96212673,0.8238,-16.2804878,0,Finance,america,Finance,
AFG,"American Financial Group, Inc.",american-financial-group-ohio,streaming,stock,common,126.28,100,1,false,0,USD,0.87067657,603332,0.95520995,10605260630.999998,USD,11.94487273,10.5719,5.10936568,2.39151,Finance,america,Finance,1.875
AFJK,"Aimei Health Technology Co., Ltd",aimei-health-technology-co-ltd,streaming,stock,common,10.95,100,1,false,0,USD,0.4587156,1450,0.07754508,98834659.96343695,USD,43.29774614,0.2529,,0,Finance,america,Finance,
AFL,AFLAC Incorporated,aflac,streaming,stock,common,109.47,100,1,false,0,USD,1.89891092,2704395,1.39950692,59835023825,USD,11.39457907,9.6072,24.01987995,1.90006,Finance,america,Finance,2.055556
AFMD,Affimed N.V.,affimed,streaming,stock,common,1.03,100,1,false,0,USD,-0.96153846,29228,0.35071594,15684286,USD,,-3.6405,-325.88909686,0,Health technology,america,Health Technology,1
AFRI,Forafric Global PLC,forafric-global-plc,streaming,stock,common,9.05,100,1,false,0,USD,3.78440367,12531,0.55697789,243256782,USD,,-0.6254,-12.28007181,0,Process industries,america,Process Industries,
AFRM,"Affirm Holdings, Inc.",affirm,streaming,stock,common,64.15,100,1,false,0,USD,3.95397829,5553619,0.87405101,20403327702,USD,,-0.6536,73.72356678,0,Finance,america,Finance,1.454545
AFYA,Afya Limited,afya-limited,streaming,stock,common,16.76,100,1,false,0,USD,-1.35373749,109136,1.11053901,1511632828.0000002,USD,13.82724198,1.2121,57.1095269,0,Consumer services,america,Consumer Services,2
AGAE,Allied Gaming & Entertainment Inc.,allied-esports,streaming,stock,common,1.0901,100,1,false,0,USD,2.35680751,23351,1.04095434,48079967.99999999,USD,,-0.2691,-144.63636364,0,Consumer services,america,Consumer Services,
AGCO,AGCO Corporation,agco,streaming,stock,common,96.97,100,1,false,0,USD,-0.451699,561610,0.71606574,7232218182.000001,USD,,-5.702,-136.4792589,1.19625,Producer manufacturing,america,Producer Manufacturing,1.735294
AGEN,Agenus Inc.,agenus,streaming,stock,common,2.85,100,1,false,0,USD,-0.34965035,435582,1.42908512,66857946,USD,,-10.9971,32.66614418,0,Health technology,america,Health Technology,1.8
AGFY,Agrify Corporation,,streaming,stock,common,18.75,100,1,false,0,USD,-2.54677755,26452,1.57868666,28682754.00000001,USD,,-10.8125,98.65140475,0,Producer manufacturing,america,Producer Manufacturing,
AGH,Aureus Greenway Holdings Inc.,,streaming,stock,common,5.44,100,1,false,0,USD,1.11524164,1931833,1.28180769,,USD,,,,,Consumer services,america,Consumer Services,
AGIO,"Agios Pharmaceuticals, Inc.",agios-pharmaceuticals,streaming,stock,common,35.54,100,1,false,0,USD,3.49446709,680867,0.89049762,2036305909,USD,3.11888443,11.3951,,0,Health technology,america,Health Technology,1.222222
AGL,"agilon health, inc.",agilon-health,streaming,stock,common,3.12,100,1,false,0,USD,-6.86567164,6348612,0.87387222,1286385531,USD,,-0.629,-18.52270586,0,Health services,america,Health Services,1.931818
AGM,Federal Agricultural Mortgage Corporation,federal-agricultural-mortgage,streaming,stock,common,209.07,100,1,false,0,USD,3.59744314,41830,1.10744287,2226890312,USD,12.71042696,16.4487,4.03326798,2.67853,Finance,america,Finance,2
AGMH,AGM Group Holdings Inc.,agm-group,streaming,stock,common,0.3286,10000,1,false,0,USD,-31.54166667,1644457,37.74495267,8660200,USD,,-1.5863,,0,Technology services,america,Technology Services,
AGO,Assured Guaranty Ltd.,assured-guaranty,streaming,stock,common,87.33,100,1,false,0,USD,-5.28199566,752729,2.85999302,4445171516,USD,12.80273266,6.8212,-45.45047423,1.4199,Finance,america,Finance,1
AGRI,AgriFORCE Growing Systems Ltd.,,streaming,stock,common,1.55,100,1,false,0,USD,8.39160839,256066,2.00703693,2652155,USD,,-1.1025,-157.29288215,0,Commercial services,america,Commercial Services,
AGRO,Adecoagro S.A.,adecoagro,streaming,stock,common,10.68,100,1,false,0,USD,-0.55865922,1013599,1.11259308,1112159818,USD,7.10531568,1.5031,10.19794721,3.20412,Process industries,america,Process Industries,1.8
AGS,"PlayAGS, Inc.",playags,streaming,stock,common,12.12,100,1,false,0,USD,0.16528926,524283,1.49236104,496032530.99999994,USD,66.04904632,0.1835,138.93229167,0,Producer manufacturing,america,Producer Manufacturing,2
AGX,"Argan, Inc.",argan,streaming,stock,common,130.37,100,1,false,0,USD,3.97160858,288670,0.88617636,1769787827,USD,27.30376141,4.7748,90.83932854,1.03551,Industrial services,america,Industrial Services,2
AGYS,"Agilysys, Inc.",agilysys,streaming,stock,common,80.99,100,1,false,0,USD,0.48387097,506638,1.08846896,2264803276,USD,102.42822815,0.7907,-75.16957669,0,Technology services,america,Technology Services,1
AHCO,AdaptHealth Corp.,adapthealth,streaming,stock,common,11.38,100,1,false,0,USD,2.61496844,1758837,0.73043321,1534786698.9999998,USD,18.81613757,0.6048,,0,Finance,america,Finance,1.388889
AI,"C3.ai, Inc.",c3-ai,streaming,stock,common,23.45,100,1,false,0,USD,-1.80067002,7522160,1.18481754,2944507096,USD,,-2.2282,4.0974434,0,Technology services,america,Technology Services,2.088235
AIEV,"Thunder Power Holdings, Inc.",feutune-light-acquisition,streaming,stock,common,0.2333,10000,1,false,0,USD,-3.95224372,119558,0.80492876,11834064,USD,,-0.0435,-137.33905579,0,Consumer durables,america,Consumer Durables,
AIFF,"Firefly Neuroscience, Inc.",firefly-neuroscience,streaming,stock,common,4.47,100,1,false,0,USD,-2.18818381,1323242,0.16895379,36079692,USD,,,,0,Health technology,america,Health Technology,
AIG,"American International Group, Inc. New",american-international,streaming,stock,common,82.94,100,1,false,0,USD,4.07830343,10011752,2.07732173,49211036053.99998,USD,16.43482741,5.0466,1.02089839,1.88088,Finance,america,Finance,1.5
AIHS,Senmiao Technology Limited,senmiao-technology,streaming,stock,common,0.8999,10000,1,false,0,USD,3.43678161,2760,0.20574138,9465184,USD,,-0.3289,27.18618552,0,Finance,america,Finance,
AIM,AIM ImmunoTech Inc.,aim-immunotech,streaming,stock,common,0.135,10000,1,false,0,USD,5.55121188,301428,0.22208333,9281835,USD,,-0.4726,-10.16317016,0,Health technology,america,Health Technology,1
